Study	NST_Site	General Location	Specific Location	NST_Sample_ID	Lat_DD	Lon_DD	Fiscal Year	Collection Date	Matrix	Scientific Name	Method	Parameter	Value	Unit	Qualifier
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	1-Methylnaphthalene	9.77	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	1-Methylphenanthrene	694.8625	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	2,4'-DDD	0.9924999999999999	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	2,4'-DDE	0	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	2,4'-DDT	0	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	2,6-Dimethylnaphthalene	0	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	2-Methylnaphthalene	25.9575	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	4,4'-DDD	0.535	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	4,4'-DDE	2.2025	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	4,4'-DDT	0	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Acenaphthene	3.48	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Aldrin	1.66	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Alpha-Chlordane	1.56	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Aluminum	55500	micrograms per dry gram  	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Anthracene	232.37749999999997	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Antimony	0.5775	micrograms per dry gram  	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Arsenic	8.69	micrograms per dry gram  	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Benz[a]anthracene	185.03249999999997	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Benzo[a]pyrene	140.47	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Benzo[e]pyrene	135.25	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Biphenyl	6.935	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Cadmium	0.3525	micrograms per dry gram  	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Chromium	93.60000000000001	micrograms per dry gram  	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Chrysene	170.93	ng/dry g	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Copper	78.95	micrograms per dry gram  	
Benthic Surveillance	NARCI	Narragansett Bay	Conanicut Island	BS1984NARCISED	41.5833	-71.3667	1984		Sediment	Sediment	NA	Dibenzo[a,h]anthracene	37.495000000000005	ng/dry g	
